"Name","Domain","Site"
"S08939NT0065US.CLOUD.WAL-MART.COM","CLOUD.WAL-MART.COM","ISD"
"S08939NT0074US.CLOUD.WAL-MART.COM","CLOUD.WAL-MART.COM","ISD"
"S09419NT0001UK.CLOUD.WAL-MART.COM","CLOUD.WAL-MART.COM","UK-UKDC-AB"
"S09419NT0002UK.CLOUD.WAL-MART.COM","CLOUD.WAL-MART.COM","UK-UKDC-AB"
"S07429NT0001CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-S07429"
"S07433NT0001CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-S07433"
"S07497NT0067US.CN.WAL-MART.COM","CN.WAL-MART.COM","CDC"
"S07497NT0107US.CN.WAL-MART.COM","CN.WAL-MART.COM","CDC"
"S07497NT0147US.CN.WAL-MART.COM","CN.WAL-MART.COM","CDC"
"S08010NT0001CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-HOMEOFFICE"
"S08010NT0002CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-HOMEOFFICE"
"S08010NT0003CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-HOMEOFFICE"
"S08010NT0004CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-HOMEOFFICE"
"S08010NT0005CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-Exchange"
"S08010NT0006CN.CN.WAL-MART.COM","CN.WAL-MART.COM","CN-Exchange"
"S08678NT0039US.CN.WAL-MART.COM","CN.WAL-MART.COM","ISD"
"S08678NT0070US.CN.WAL-MART.COM","CN.WAL-MART.COM","ISD"
"S08939NT0046US.CN.WAL-MART.COM","CN.WAL-MART.COM","ISD"
"S08939NT0075US.CN.WAL-MART.COM","CN.WAL-MART.COM","ISD"
"S07497NT0047US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","CDC"
"S07497NT0087US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","CDC"
"S07497NT0148US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","CDC"
"S08678NT0052US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","ISD"
"S08678NT0071US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","ISD"
"S08939NT0042US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","ISD"
"S08939NT0076US.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","ISD"
"S09246NT0001TR.EMEA.WAL-MART.COM","EMEA.WAL-MART.COM","TR-GeorgeSourcing"
"PHONT00001USP01.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S07497NT0012US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0015US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC-EXCH-Hybrid"
"S07497NT0017US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC-EXCH-Hybrid"
"S07497NT0020US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC-EXCH"
"S07497NT0032US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC-EXCH"
"S07497NT0035US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC-EXCH"
"S07497NT0037US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0040US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0052US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0055US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0057US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0060US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0074US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0077US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0080US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0085US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0095US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0097US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0100US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0105US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0115US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0117US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0118US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0135US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S07497NT0138US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","CDC"
"S08678NT0001US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0003US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0004US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0005US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0013US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0016US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0017US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0027US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD-EXCH"
"S08678NT0028US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD-EXCH"
"S08678NT0058US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08678NT0062US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08771NT0001US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","US-GEC"
"S08771NT0002US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","US-GEC"
"S08939NT0003US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0004US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0005US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0006US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0007US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0008US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0009US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0010US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0024US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0025US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD-EXCH"
"S08939NT0026US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD-EXCH"
"S08939NT0027US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD-EXCH-Hybrid"
"S08939NT0038US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0043US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0057US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S08939NT0062US.HOMEOFFICE.WAL-MART.COM","HOMEOFFICE.WAL-MART.COM","ISD"
"S07497NT0006US.IN.WAL-MART.COM","IN.WAL-MART.COM","CDC"
"S07497NT0026US.IN.WAL-MART.COM","IN.WAL-MART.COM","CDC"
"S07497NT0149US.IN.WAL-MART.COM","IN.WAL-MART.COM","CDC"
"S08678NT0043US.IN.WAL-MART.COM","IN.WAL-MART.COM","ISD"
"S08939NT0058US.IN.WAL-MART.COM","IN.WAL-MART.COM","ISD"
"S08939NT0077US.IN.WAL-MART.COM","IN.WAL-MART.COM","ISD"
"S09658NT0001IN.IN.WAL-MART.COM","IN.WAL-MART.COM","IN-HOMEOFFICE"
"S09658NT0002IN.IN.WAL-MART.COM","IN.WAL-MART.COM","IN-HOMEOFFICE"
"S07432NT0001JP.JP.WAL-MART.COM","JP.WAL-MART.COM","JP-Nagano-DR"
"S07432NT0002JP.JP.WAL-MART.COM","JP.WAL-MART.COM","JP-Nagano-DR"
"S07497NT0007US.JP.WAL-MART.COM","JP.WAL-MART.COM","CDC"
"S07497NT0048US.JP.WAL-MART.COM","JP.WAL-MART.COM","CDC"
"S07497NT0150US.JP.WAL-MART.COM","JP.WAL-MART.COM","CDC"
"S08678NT0040US.JP.WAL-MART.COM","JP.WAL-MART.COM","ISD"
"S08939NT0056US.JP.WAL-MART.COM","JP.WAL-MART.COM","ISD"
"S08939NT0078US.JP.WAL-MART.COM","JP.WAL-MART.COM","ISD"
"S09380NT0001JP.JP.WAL-MART.COM","JP.WAL-MART.COM","JP-Akabane"
"S09380NT0002JP.JP.WAL-MART.COM","JP.WAL-MART.COM","JP-Akabane"
"S07497NT0027US.MX.WAL-MART.COM","MX.WAL-MART.COM","CDC"
"S07497NT0068US.MX.WAL-MART.COM","MX.WAL-MART.COM","CDC"
"S07846NT0001MX.MX.WAL-MART.COM","MX.WAL-MART.COM","MX-S07846"
"S07851NT0001MX.MX.WAL-MART.COM","MX.WAL-MART.COM","MX-NET"
"S07852NT0001MX.MX.WAL-MART.COM","MX.WAL-MART.COM","MX-Azcapotzalco"
"S07852NT0002MX.MX.WAL-MART.COM","MX.WAL-MART.COM","MX-Azcapotzalco"
"S08678NT0041US.MX.WAL-MART.COM","MX.WAL-MART.COM","ISD"
"S08939NT0047US.MX.WAL-MART.COM","MX.WAL-MART.COM","ISD"
"S08939NT0079US.MX.WAL-MART.COM","MX.WAL-MART.COM","ISD"
"S07497NT0028US.PR.WAL-MART.COM","PR.WAL-MART.COM","CDC"
"S07497NT0088US.PR.WAL-MART.COM","PR.WAL-MART.COM","CDC"
"S08678NT0042US.PR.WAL-MART.COM","PR.WAL-MART.COM","ISD"
"S08939NT0048US.PR.WAL-MART.COM","PR.WAL-MART.COM","ISD"
"S08939NT0080US.PR.WAL-MART.COM","PR.WAL-MART.COM","ISD"
"S09062NT0001PR.PR.WAL-MART.COM","PR.WAL-MART.COM","PR-HOMEOFFICE"
"S09062NT0002PR.PR.WAL-MART.COM","PR.WAL-MART.COM","PR-HOMEOFFICE"
"PUKNT00001UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-UKDC-AB"
"S07447NT0001UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-Leeds-DR"
"S07497NT0069US.UK.WAL-MART.COM","UK.WAL-MART.COM","CDC"
"S07497NT0108US.UK.WAL-MART.COM","UK.WAL-MART.COM","CDC"
"S08678NT0047US.UK.WAL-MART.COM","UK.WAL-MART.COM","ISD"
"S08939NT0052US.UK.WAL-MART.COM","UK.WAL-MART.COM","ISD"
"S09229NT0001UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-Leeds-HO"
"S09229NT0002UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-Leeds-HO"
"S09231NT0001UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-George-HO"
"S09419NT0003UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-UKDC-AB"
"S09419NT0004UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-UKDC-AB"
"S09419NT0005UK.UK.WAL-MART.COM","UK.WAL-MART.COM","UK-UKDC-AB"
"S07497NT0011US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0014US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0018US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0019US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0033US.US.WAL-MART.COM","US.WAL-MART.COM","CDC-EXCH"
"S07497NT0034US.US.WAL-MART.COM","US.WAL-MART.COM","CDC-EXCH"
"S07497NT0038US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0039US.US.WAL-MART.COM","US.WAL-MART.COM","CDC-EXCH"
"S07497NT0053US.US.WAL-MART.COM","US.WAL-MART.COM","CDC-EXCH"
"S07497NT0054US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0058US.US.WAL-MART.COM","US.WAL-MART.COM","CDC-EXCH-Hybrid"
"S07497NT0059US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0073US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0075US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0078US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0079US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0093US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0094US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0098US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0099US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0113US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0114US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0119US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0120US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0140US.US.WAL-MART.COM","US.WAL-MART.COM","CDC"
"S07497NT0142US.US.WAL-MART.COM","US.WAL-MART.COM","CDC-EXCH-Hybrid"
"S08678NT0011US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08678NT0012US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08678NT0025US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08678NT0026US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08678NT0045US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08678NT0057US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08678NT0059US.US.WAL-MART.COM","US.WAL-MART.COM","ISD-EXCH"
"S08939NT0022US.US.WAL-MART.COM","US.WAL-MART.COM","ISD-EXCH-Hybrid"
"S08939NT0023US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08939NT0036US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08939NT0037US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08939NT0050US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08939NT0059US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S08939NT0066US.US.WAL-MART.COM","US.WAL-MART.COM","ISD"
"S07497NT0008US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0029US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0049US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0070US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0089US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0109US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0136US.WAL-MART.COM","WAL-MART.COM","CDC"
"S07497NT0139US.WAL-MART.COM","WAL-MART.COM","CDC"
"S08678NT0002US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08678NT0009US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08678NT0024US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08678NT0046US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08678NT0063US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08939NT0001US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08939NT0002US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08939NT0021US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08939NT0035US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08939NT0060US.WAL-MART.COM","WAL-MART.COM","ISD"
"S08939NT0067US.WAL-MART.COM","WAL-MART.COM","ISD"
"S07497NT0009US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","CDC-WMCT"
"S07497NT0030US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","CDC-WMCT"
"S07497NT0050US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","CDC-WMCT"
"S07497NT0071US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","CDC-WMCT"
"S07497NT0090US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","CDC-WMCT"
"S07497NT0110US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","CDC-WMCT"
"S08678NT0010US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08678NT0018US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08678NT0021US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08678NT0048US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08678NT0056US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08939NT0020US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08939NT0033US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08939NT0034US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08939NT0053US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S08939NT0063US.WMCT.WAL-MART.COM","WMCT.WAL-MART.COM","ISD-WMCT"
"S07497NT0010US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0016US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC-EXCH"
"S07497NT0031US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC-EXCH"
"S07497NT0036US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC-EXCH"
"S07497NT0051US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0056US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0072US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0076US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0091US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0096US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0111US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0116US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0134US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S07497NT0137US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CDC"
"S08678NT0019US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08678NT0020US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08678NT0022US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08678NT0023US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08678NT0050US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08678NT0060US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08678NT0064US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08939NT0018US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08939NT0019US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08939NT0031US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08939NT0032US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08939NT0055US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S08939NT0061US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD-EXCH"
"S08939NT0068US.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","ISD"
"S09000NT0001CN.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CN-S09000"
"S09060NT0001CN.WMSC.WAL-MART.COM","WMSC.WAL-MART.COM","CN-S09060"
