"Subnet","OverlappingSubnet","SubnetSite","OverlappingSite","SiteCollision","DCInSite"
"10.0.0.0","10.193.136.0","ISD","US-S00335","True","True"
"10.0.0.0","10.196.52.0","ISD","US-S00264","True","True"
"10.0.0.0","10.200.30.0","ISD","US-S00348","True","True"
"10.0.0.0","10.212.74.0","ISD","US-S00332","True","True"
"10.0.0.0","10.199.14.0","ISD","US-S00352","True","True"
"10.0.0.0","10.197.12.0","ISD","US-S00270","True","True"
"10.0.0.0","10.223.110.0","ISD","US-S00309","True","True"
"10.0.0.0","10.194.172.0","ISD","US-S00451","True","True"
"10.0.0.0","10.216.2.0","ISD","US-S00149","True","True"
"10.0.0.0","10.201.106.0","ISD","US-S00011","True","True"
"10.0.0.0","10.196.94.0","ISD","US-S00173","True","True"
"10.0.0.0","10.201.108.0","ISD","US-S00161","True","True"
"10.0.0.0","10.200.10.0","ISD","US-S00157","True","True"
"10.0.0.0","10.194.138.0","ISD","US-S00111","True","True"
"10.0.0.0","10.9.32.108","ISD","SG-S09500","True","True"
"10.0.0.0","10.194.128.0","ISD","US-S00026","True","True"
"10.0.0.0","10.196.92.0","ISD","US-S00177","True","True"
"10.0.0.0","10.197.130.0","ISD","US-S00059","True","True"
"10.0.0.0","10.192.130.0","ISD","US-S00044","True","True"
"10.0.0.0","10.156.120.0","ISD","UK-S07446","True","True"
"10.0.0.0","10.214.22.0","ISD","US-S00099","True","True"
"10.0.0.0","10.147.58.0","ISD","CA-S06063","True","True"
"10.0.0.0","10.127.245.92","ISD","UK-S07494","True","True"
"10.0.0.0","10.212.4.0","ISD","US-S00054","True","True"
"10.0.0.0","10.201.168.0","ISD","US-S00478","True","True"
"10.0.0.0","10.71.84.0","ISD","US-S00212","True","True"
"10.0.0.0","10.196.38.0","ISD","US-S00180","True","True"
"10.0.0.0","10.211.180.0","ISD","US-S00218","True","True"
"10.0.0.0","10.198.18.0","ISD","US-S00207","True","True"
"10.0.0.0","10.221.136.0","ISD","US-S00239","True","True"
"10.0.0.0","10.213.10.0","ISD","US-S00220","True","True"
"10.0.0.0","10.196.46.0","ISD","US-S00231","True","True"
"10.0.0.0","10.213.76.0","ISD","US-S00190","True","True"
"10.0.0.0","10.221.134.0","ISD","US-S00233","True","True"
"10.0.0.0","10.221.138.0","ISD","US-S00242","True","True"
"10.0.0.0","10.9.63.32","ISD","US-S05315","True","True"
"10.0.0.0","10.200.16.0","ISD","US-S00214","True","True"
"10.0.0.0","10.200.158.0","ISD","US-S00241","True","True"
"10.0.0.0","10.221.132.0","ISD","US-S00211","True","True"
"10.0.0.0","10.194.26.0","ISD","US-S00217","True","True"
"10.0.0.0","10.197.6.0","ISD","US-S00191","True","True"
"10.0.0.0","10.70.76.0","ISD","US-S00257","True","True"
"10.0.0.0","10.215.22.0","ISD","US-S00226","True","True"
"10.0.0.0","10.197.184.0","ISD","US-S00469","True","True"
"10.0.0.0","10.156.144.0","ISD","UK-S07454","True","True"
"10.0.0.0","10.201.162.0","ISD","US-S00459","True","True"
"10.0.0.0","10.214.26.0","ISD","US-S00102","True","True"
"10.0.0.0","10.196.98.0","ISD","US-S00107","True","True"
"10.0.0.0","10.220.6.0","ISD","US-S00430","True","True"
"10.0.0.0","10.220.108.0","ISD","US-S00146","True","True"
"10.0.0.0","10.194.182.0","ISD","US-S00490","True","True"
"10.0.0.0","10.196.32.0","ISD","US-S00073","True","True"
"10.0.0.0","10.192.134.0","ISD","US-S00074","True","True"
"10.0.0.0","10.5.248.4","ISD","BR-S07457","True","True"
"10.0.0.0","10.70.104.0","ISD","US-S00079","True","True"
"10.0.0.0","10.156.128.0","ISD","UK-S07449","True","True"
"10.0.0.0","10.9.32.120","ISD","IT-S09550","True","True"
"10.0.0.0","10.206.86.0","ISD","US-S00033","True","True"
"10.0.0.0","10.221.58.0","ISD","US-S00010","True","True"
"10.0.0.0","10.127.245.56","ISD","UK-S07450","True","True"
"10.0.0.0","10.192.26.0","ISD","US-S00061","True","True"
"10.0.0.0","10.222.76.0","ISD","US-S00087","True","True"
"10.0.0.0","10.127.248.192","ISD","UK-S07457","True","True"
"10.0.0.0","10.196.70.0","ISD","US-S00200","True","True"
"10.0.0.0","10.127.251.32","ISD","UK-S07487","True","True"
"10.0.0.0","10.8.255.64","ISD","US-S06060","True","True"
"10.0.0.0","10.199.42.0","ISD","US-S00460","True","True"
"10.0.0.0","10.222.204.0","ISD","US-S00020","True","True"
"10.0.0.0","10.127.245.44","ISD","UK-S07443","True","True"
"10.0.0.0","10.127.249.192","ISD","UK-S07450","True","True"
"10.0.0.0","10.167.0.32","ISD","US-S08300","True","True"
"10.0.0.0","10.127.249.96","ISD","UK-S07443","True","True"
"10.0.0.0","10.68.4.0","ISD","US-S00082","True","True"
"10.0.0.0","10.197.132.0","ISD","US-S00060","True","True"
"10.0.0.0","10.211.244.0","ISD","US-S00051","True","True"
"10.0.0.0","10.194.4.0","ISD","US-S00029","True","True"
"10.0.0.0","10.202.4.0","ISD","US-S00452","True","True"
"10.0.0.0","10.213.68.0","ISD","US-S00138","True","True"
"10.0.0.0","10.196.18.0","ISD","US-S00118","True","True"
"10.0.0.0","10.197.140.0","ISD","US-S00105","True","True"
"10.0.0.0","10.215.34.0","ISD","US-S00094","True","True"
"10.0.0.0","10.8.255.60","ISD","US-S06060","True","True"
"10.0.0.0","10.222.80.0","ISD","US-S00257","True","True"
"10.0.0.0","10.200.156.0","ISD","US-S00235","True","True"
"10.0.0.0","10.67.220.0","ISD","US-S00242","True","True"
"10.0.0.0","10.127.245.8","ISD","UK-S07421","True","True"
"10.0.0.0","10.215.20.0","ISD","US-S00141","True","True"
"10.0.0.0","10.199.34.0","ISD","US-S00436","True","True"
"10.0.0.0","10.197.150.0","ISD","US-S00189","True","True"
"10.0.0.0","10.200.4.0","ISD","US-S00071","True","True"
"10.0.0.0","10.192.6.0","ISD","US-S00008","True","True"
"10.0.0.0","10.9.32.112","ISD","AE-S09700","True","True"
"10.0.0.0","10.192.46.0","ISD","US-S00126","True","True"
"10.0.0.0","10.68.8.0","ISD","US-S00203","True","True"
"10.0.0.0","10.198.4.0","ISD","US-S00093","True","True"
"10.0.0.0","10.127.245.4","ISD","UK-S07444","True","True"
"10.0.0.0","10.156.88.0","ISD","UK-S07441","True","True"
"10.0.0.0","10.127.245.112","ISD","UK-S07461","True","True"
"10.0.0.0","10.127.247.28","ISD","UK-S07423","True","True"
"10.0.0.0","10.127.249.32","ISD","UK-S07446","True","True"
"10.0.0.0","10.192.48.0","ISD","US-S00155","True","True"
"10.0.0.0","10.127.247.36","ISD","UK-S07446","True","True"
"10.0.0.0","10.127.248.160","ISD","UK-S07442","True","True"
"10.0.0.0","10.69.232.0","ISD","US-S00027","True","True"
"10.0.0.0","10.197.166.0","ISD","US-S00258","True","True"
"10.0.0.0","10.70.160.0","ISD","US-S00244","True","True"
"10.0.0.0","10.9.62.12","ISD","US-S07036","True","True"
"10.0.0.0","10.213.6.0","ISD","US-S00067","True","True"
"10.0.0.0","10.127.245.104","ISD","UK-S07452","True","True"
"10.0.0.0","10.220.148.0","ISD","US-S00224","True","True"
"10.0.0.0","10.127.245.12","ISD","UK-S07451","True","True"
"10.0.0.0","10.192.144.0","ISD","US-S00176","True","True"
"10.0.0.0","10.220.110.0","ISD","US-S00158","True","True"
"10.0.0.0","10.0.18.0","ISD","US-S05315","True","True"
"10.0.0.0","10.200.12.0","ISD","US-S00160","True","True"
"10.0.0.0","10.127.247.84","ISD","UK-S07452","True","True"
"10.0.0.0","10.127.247.44","ISD","UK-S07443","True","True"
"10.0.0.0","10.196.234.0","ISD","US-S00232","True","True"
"10.0.0.0","10.70.68.0","ISD","US-S00122","True","True"
"10.0.0.0","10.127.245.100","ISD","UK-S07487","True","True"
"10.0.0.0","10.196.24.0","ISD","US-S00129","True","True"
"10.0.0.0","10.127.245.128","ISD","UK-S07430","True","True"
"10.0.0.0","10.222.4.0","ISD","US-S00079","True","True"
"10.0.0.0","10.70.216.0","ISD","US-S00213","True","True"
"10.0.0.0","10.200.148.0","ISD","US-S00171","True","True"
"10.0.0.0","10.197.148.0","ISD","US-S00172","True","True"
"10.0.0.0","10.0.20.0","ISD","US-S05315","True","True"
"10.0.0.0","10.198.22.0","ISD","US-S00247","True","True"
"10.0.0.0","10.199.196.0","ISD","US-S00182","True","True"
"10.0.0.0","10.192.50.0","ISD","US-S00170","True","True"
"10.0.0.0","10.212.154.0","ISD","US-S00228","True","True"
"10.0.0.0","10.222.28.0","ISD","US-S00244","True","True"
"10.0.0.0","10.218.110.0","ISD","US-S00240","True","True"
"10.0.0.0","10.67.176.0","ISD","US-S00211","True","True"
"10.0.0.0","10.211.186.0","ISD","US-S00203","True","True"
"10.0.0.0","10.69.76.0","ISD","US-S00238","True","True"
"10.0.0.0","10.194.14.0","ISD","US-S00250","True","True"
"10.0.0.0","10.197.2.0","ISD","US-S00164","True","True"
"10.0.0.0","10.214.4.0","ISD","US-S00234","True","True"
"10.0.0.0","10.127.245.0","ISD","UK-S07445","True","True"
"10.0.0.0","10.220.98.0","ISD","US-S00256","True","True"
"10.0.0.0","10.204.246.0","ISD","US-S00243","True","True"
"10.0.0.0","10.70.64.0","ISD","US-S00087","True","True"
"10.0.0.0","10.127.245.40","ISD","UK-S07449","True","True"
"10.0.0.0","10.196.206.0","ISD","US-S00166","True","True"
"10.0.0.0","10.202.134.0","ISD","US-S00230","True","True"
"10.0.0.0","10.197.142.0","ISD","US-S00115","True","True"
"10.0.0.0","10.9.51.16","ISD","US-S06011","True","True"
